Event Date,Number of Shows,Headliner,Promoter,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min USD,Ticket Price Max USD,Ticket Price Avg. USD,Venue Type,Tickets Sold,Total Gross,Venue Address
1/27/2026,1,CMAT,Live Nation,1925,104508.3,1925.0,1.0,54.29,54.29,54.29,Club,1925,104508.3,"Forum Melbourne, Melbourne, Australia"
1/27/2026,1,Dean Lewis,Live Nation,1795,66975.36,1795.0,1.0,25.49,43.33,37.31,Theater ,1795,66975.36,"Burton Cummings Theatre, Winnipeg, Canada"
1/27/2026,1,"""Dancing With The Stars Live""","Live Nation, NS2",2983,276724.73,2983.0,1.0,39.5,129.5,92.77,Arena,2983,276724.73,"Cross Insurance Center, Bangor, United States"
1/27/2026,1,"""Stuff You Should Know""","Live Nation, NS2",1490,79490.0,1490.0,1.0,40.0,70.0,53.35,Theater ,1490,79490.0,"Paramount Theatre, Denver, United States"
1/27/2026,1,J.I.D.,"Live Nation, Seattle Theatre Group",2169,103011.0,2758.0,0.78,34.5,64.5,47.49,Theater ,2169,103011.0,"Paramount Theatre, Seattle, United States"
1/27/2026,1,Snow Strippers,Live Nation,1923,54121.5,2000.0,0.96,30.0,45.0,28.14,Theater ,1923,54121.5,"The Pageant, St. Louis, United States"
1/27/2026,1,Say She She,Live Nation,624,22464.0,850.0,0.73,36.0,36.0,36.0,Club,624,22464.0,"August Hall, San Francisco, United States"
1/27/2026,1,Craig Finn,Live Nation / Gaiety Investments (MCD Productions),163,6512.54,200.0,0.81,40.01,40.01,39.95,Club,163,6512.54,"Whelans, Dublin, Ireland"
1/27/2026,3,Silvana Estrada,OCESA,3066,167279.59,3165.0,0.96,23.07,190.34,54.55,Theater ,9199,501838.77,"Teatro Metropolitan, Mexico City, Mexico"
1/27/2026,1,Neko Case,Live Nation,524,21035.87,850.0,0.61,31.25,90.0,40.14,Club,524,21035.87,"House Of Blues, New Orleans, United States"
1/28/2026,1,The East Pointers,Live Nation / Gaiety Investments (MCD Productions),146,3679.28,180.0,0.81,25.2,25.2,25.2,Club,146,3679.28,"The Grand Social, Dublin, Ireland"
1/28/2026,1,TWICE,Live Nation,14272,2607605.0,14722.0,0.96,54.5,474.5,182.71,Arena,14272,2607605.0,"Mortgage Matchup Center, Phoenix, United States"
1/28/2026,1,CMAT,Live Nation,1919,105427.74,1919.0,1.0,54.94,54.94,54.94,Club,1919,105427.74,"Forum Melbourne, Melbourne, Australia"
1/28/2026,1,"""Dancing With The Stars Live""","Live Nation, NS2",1759,174490.5,1759.0,1.0,59.5,129.5,99.2,Theater ,1759,174490.5,"Merrill Auditorium, Portland, United States"
1/28/2026,1,Zayn,Live Nation,3838,420980.0,4271.0,0.89,79.5,499.0,109.69,Theater ,3838,420980.0,"Dolby Live at Park MGM Las Vegas, Las Vegas, United States"
1/28/2026,1,Jinjer,Live Nation / Gaiety Investments (MCD Productions),1306,70565.67,1661.0,0.78,54.0,54.0,54.03,Theater ,1306,70565.67,"3Olympia Theatre, Dublin, Ireland"
1/29/2026,1,Yandel,OCESA,5929,490787.21,6373.0,0.93,40.86,286.0,82.78,Arena,5929,490787.21,"Foro GNP Seguros, Merida, Mexico"
1/29/2026,1,Slaughter To Prevail,Live Nation,1750,109921.86,1750.0,1.0,62.81,62.81,62.81,Theater ,1750,109921.86,"Sentrum Scene, Oslo, Norway"
1/29/2026,1,Rascal Flatts,Live Nation,7770,498736.25,9209.0,0.84,29.75,169.75,64.19,Arena,7770,498736.25,"UBS Arena, Elmont, United States"
1/29/2026,1,Jade LeMac,"(In-House Promotion), evenko, Greenland Events Inc, Live Nation",693,20590.22,978.0,0.7,22.19,29.58,29.71,Club,693,20590.22,"Théâtre Beanfield, Montreal, Canada"
1/29/2026,1,"""Dancing With The Stars Live""","Live Nation, NS2",6329,609531.18,6329.0,1.0,59.5,129.5,96.31,Arena,6329,609531.18,"SNHU Arena, Manchester, United States"
1/29/2026,1,Amythyst Kiah,Live Nation / Gaiety Investments (MCD Productions),23,689.41,25.0,0.92,29.97,29.97,29.97,Club,23,689.41,"Upstairs At Whelans, Dublin, Ireland"
1/29/2026,1,Snow Strippers,Live Nation,1900,61750.0,1900.0,1.0,30.0,45.0,32.5,Club,1900,61750.0,"The Fillmore Charlotte, Charlotte, United States"
1/29/2026,5,John Mulaney,Live Nation,2839,258944.0,2860.0,0.99,34.0,194.0,91.21,Theater ,14195,1294720.0,"Paramount Theatre, Seattle, United States"
1/29/2026,1,Jeffrey Martin,Live Nation / Gaiety Investments (MCD Productions),99,2730.07,120.0,0.82,27.58,27.58,27.58,Club,99,2730.07,"Whelans, Dublin, Ireland"
1/30/2026,1,Hermanos Gutiérrez,"OCESA, Páramo Presenta",1220,64415.53,1220.0,1.0,26.38,179.54,52.8,Theater ,1220,64415.53,"Teatro Mayor Santo Domingo, Bogota, Colombia"
1/30/2026,7,"""The Lion King""",OCESA,924,76234.23,1400.0,0.66,57.93,289.67,82.5,Theater ,6468,533639.63,"Teatro Telcel, Mexico City, Mexico"
1/30/2026,7,"""The Phantom Of The Opera""",OCESA,640,67645.58,1400.0,0.45,46.35,231.74,105.6,Theater ,4484,473519.03,"Teatro de los Insurgentes, Mexico City, Mexico"
1/30/2026,1,C-Kan,OCESA,1566,80111.07,2335.0,0.67,23.17,179.6,51.16,Other,1566,80111.07,"Teatro Morelos, Toluca, Mexico"
1/30/2026,1,Deon Cole,Live Nation,2900,207694.0,2900.0,1.0,49.5,99.5,71.62,Theater ,2900,207694.0,"The Theater at MGM National Harbor, Oxon Hill, United States"
1/30/2026,1,Slaughter To Prevail,Live Nation,1957,145215.76,3400.0,0.57,59.67,74.59,74.2,Club,1957,145215.76,"B-K, Stockholm, Sweden"
1/30/2026,1,Dark Star Orchestra,Live Nation,2300,99644.1,2300.0,1.0,35.0,49.5,43.32,Theater ,2300,99644.1,"The Wiltern, Los Angeles, United States"
1/30/2026,1,Sal Vulcano,"Bill Blumenreich Presents, Live Nation",890,57470.48,1034.0,0.86,25.0,119.0,64.57,Theater ,890,57470.48,"The Palazzo Theatre, Las Vegas, United States"
1/30/2026,1,Eddie Griffin,"Hard Rock International (HRI), Live Nation",838,39222.64,1900.0,0.44,32.92,58.81,46.81,Theater ,838,39222.64,"Hard Rock LIVE, Ottawa, Canada"
1/30/2026,1,Ghost,"(In-House Promotion), evenko, Live Nation",10189,994145.4,10189.0,1.0,44.01,206.75,97.57,Arena,10189,994145.4,"Bell Centre, Montreal, Canada"
1/30/2026,1,Get The Led Out,Live Nation,1565,82492.75,2686.0,0.58,29.5,29.5,52.71,Theater ,1565,82492.75,"The MainStage At Proctors, Schenectady, United States"
1/30/2026,1,Eagles,Live Nation,16360,4713689.0,16360.0,1.0,120.0,311.0,288.12,Arena,16360,4713689.0,"Sphere, Las Vegas, United States"
1/30/2026,1,Rascal Flatts,Live Nation,9461,636620.8,10566.0,0.89,29.75,169.75,67.29,Arena,9461,636620.8,"Prudential Center, Newark, United States"
